comparison_group_id,source_year,workbook_name,sheet_name,chapter,topic,likely_table_title,geography_level_candidate,max_rows,max_columns,probable_header_row,probable_data_start_row,region_candidate_count,detected_years,group_geography_levels,comparison_status,manual_validation_required
FY-024,2022,2022-Chapter-IV-Health-Activities.xlsx,30,Health Activities,Capacity | Activity,"Surgical Interventions at Other Governmental Sector Hospitals by Section, 2022G",Unknown / National / Other,130,59,7,8,6,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-024,2023,Statistical-Yearbook-2023.xlsx,30.,Unknown / Other,Capacity | Activity,"Surgical Interventions at Other Governmental Sector Hospitals by Section, 2023G",Unknown / National / Other,110,59,7,8,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-024,2024,Statistical-Yearbook-2024.xlsx,4-37,Health Activities,Capacity | Activity,"Surgical Interventions at Other Governmental Sector Hospitals by Section, 2024G",Unknown / National / Other,47,59,7,8,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-025,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,32,Health Activities,Capacity | Activity,"Main Activities and Services at King Khaled Eye Specialist Hospital, in the last Five Years",Unknown / National / Other,24,14,14,15,1,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-025,2022,2022-Chapter-IV-Health-Activities.xlsx,31,Health Activities,Capacity | Activity,"Main Activities and Services at King Khaled Eye Specialist Hospital, in the last Five Years",Unknown / National / Other,24,9,14,15,1,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-025,2023,Statistical-Yearbook-2023.xlsx,31.,Unknown / Other,Capacity | Activity,"Main Activities and Services at King Khaled Eye Specialist Hospital, in the last Five Years",Unknown / National / Other,24,12,4,5,1,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-025,2024,Statistical-Yearbook-2024.xlsx,4-39,Health Activities,Capacity | Activity,"Main Activities and Services at King Khaled Eye Specialist Hospital, in the last Five Years",Unknown / National / Other,27,12,4,5,1,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-026,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,34,Health Activities,Capacity,"Cases of Tumours among Children Referred to King Faisal Specialist Hospital by Site, 2021G.",Unknown / National / Other,21,10,5,6,2,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-026,2022,2022-Chapter-IV-Health-Activities.xlsx,33,Health Activities,Capacity,"Cases of Tumours among Children Referred to King Faisal Specialist Hospital by Site, 2022G.",Unknown / National / Other,21,9,5,6,2,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-026,2023,Statistical-Yearbook-2023.xlsx,33.,Unknown / Other,Capacity,"Cases of Tumours among Children Referred to King Faisal Specialist Hospital by Site, 2023G.",Unknown / National / Other,21,8,5,6,2,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-026,2024,Statistical-Yearbook-2024.xlsx,4-41,Health Activities,Capacity,"Cases of Tumours among Children Referred to King Faisal Specialist Hospital by Site, 2024G.",Unknown / National / Other,21,8,5,6,2,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-027,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,35,Health Activities,Other,"Renal Dialysis Centers and Patients by Health Sectors, 2021G.",Unknown / National / Other,14,6,4,5,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-027,2022,2022-Chapter-IV-Health-Activities.xlsx,34,Health Activities,Other,"Renal Dialysis Centers and Patients by Health Sectors, 2021G.",Unknown / National / Other,14,6,4,5,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-027,2023,Statistical-Yearbook-2023.xlsx,34.,Unknown / Other,Other,"Renal Dialysis Centers and Patients by Health Sectors, 2021G.",Unknown / National / Other,14,6,4,5,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-027,2024,Statistical-Yearbook-2024.xlsx,4-42,Health Activities,Other,"Renal Dialysis Centers and Patients by Health Sectors, 2024G.",Unknown / National / Other,14,6,4,5,0,2024,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-028,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,44,Health Activities,Activity,"Laboratory Investigations and Number of Radiology & Physiotherapy patients at MoH Facilities, in the last Five Years",Unknown / National / Other,20,12,4,5,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-028,2022,2022-Chapter-IV-Health-Activities.xlsx,42,Health Activities,Activity,"Laboratory Investigations and Number of Radiology & Physiotherapy patients at MoH Facilities, in the last Five Years",Unknown / National / Other,20,12,4,5,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-028,2023,Statistical-Yearbook-2023.xlsx,43.,Unknown / Other,Activity,"Laboratory Investigations and Number of Radiology & Physiotherapy patients at MoH Facilities, in the last Five Years",Unknown / National / Other,20,14,4,5,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-028,2024,Statistical-Yearbook-2024.xlsx,4-55,Health Activities,Activity,"Laboratory Investigations and Number of Radiology & Physiotherapy patients at MoH Facilities, in the last Five Years",Unknown / National / Other,13,15,4,5,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-029,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,47,Health Activities,Activity,أنشطة بنوك الدم بوزارة الصحة حسب المنطقة الصحية عام 2021م.,Health Region,31,8,4,5,18,,Health Region,CANDIDATE_ONLY,YES
FY-029,2022,2022-Chapter-IV-Health-Activities.xlsx,45,Health Activities,Activity,أنشطة بنوك الدم بوزارة الصحة حسب المنطقة الصحية عام 2022م.,Health Region,31,37,4,5,18,,Health Region,CANDIDATE_ONLY,YES
FY-029,2023,Statistical-Yearbook-2023.xlsx,46.,Unknown / Other,Activity,أنشطة بنوك الدم بوزارة الصحة حسب المنطقة الصحية عام 2023م.,Health Region,31,5,4,5,19,,Health Region,CANDIDATE_ONLY,YES
FY-029,2024,Statistical-Yearbook-2024.xlsx,4-59,Health Activities,Activity,أنشطة بنوك الدم بوزارة الصحة حسب المنطقة الصحية عام 2024م.,Health Region,31,7,4,5,23,,Health Region,CANDIDATE_ONLY,YES
FY-030,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,48,Health Activities,Activity,Table 4-48,Unknown / National / Other,9,23,4,5,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-030,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,54,Health Activities,Activity,Table 4-54,Unknown / National / Other,26,30,4,5,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
